NestID,Length,TotalLength,ItemNumber,RemainingLength
10296,392,5280,01250,720
10297,2328,2328,02947,3672
10298,906,3843,03643,0
10298,494,3843,03441,0
10298,492,3843,03615,0
10298,425,3843,03380,0
10298,355,3843,03626,0
10298,341,3843,03631,0
10298,216,3843,03632,0
10298,183,3843,03627,0
10299,498,8000,03377,0
10299,493,8000,03666,0
10299,493,8000,03953,0
10299,492,8000,03371,0
10299,492,8000,03372,0
10299,492,8000,03373,0
10299,492,8000,03442,0
10299,492,8000,03443,0
10299,491,8000,03440,0
10299,491,8000,03624,0
10299,491,8000,03629,0
10299,491,8000,03634,0
10299,491,8000,03637,0
10299,490,8000,03541,0
10299,425,8000,03379,0
10299,343,8000,03646,0
10299,343,8000,03647,0
10300,493,7888,03437,112
10300,493,7888,03438,112
10300,493,7888,03569,112
10300,493,7888,03609,112
10300,493,7888,03610,112
10300,493,7888,03616,112
10300,493,7888,03617,112
10300,493,7888,03618,112
10300,493,7888,03625,112
10300,493,7888,03628,112
10300,493,7888,03630,112
10300,493,7888,03633,112
10300,493,7888,03635,112
10300,493,7888,03636,112
10300,493,7888,03638,112
10300,493,7888,03639,112
10301,493,1910,03374,6090
10301,493,1910,03376,6090
10301,490,1910,03378,6090
10301,217,1910,03727,6090
10301,217,1910,03728,6090
10302,685,2020,00669,8
10302,498,2020,03997,8
10302,491,2020,03527,8
10302,346,2020,03529,8
10303,2914,7973,03540,27
10303,2258,7973,03528,27
10303,2164,7973,00668,27
10303,637,7973,03526,27
10304,2494,7972,02887,28
10304,2494,7972,02888,28
10304,2494,7972,02934,28
10304,490,7972,03996,28
10305,2494,7482,02884,518
10305,2494,7482,02885,518
10305,2494,7482,02886,518
10306,2494,7482,02880,518
10306,2494,7482,02881,518
10306,2494,7482,02883,518
10307,2164,2164,00667,5836
10308,2914,5828,00671,630
10308,2914,5828,00674,630
10309,2914,2914,00665,10086
1015,491,491,02372,3313
1016,567,1060,02393,4542
1016,493,1060,02392,4542
1018,587,4480,00662,0
1018,491,4480,02376,0
1018,491,4480,02377,0
1018,489,4480,00665,0
1018,489,4480,00829,0
1018,480,4480,00663,0
1019,491,5950,00826,50
1019,491,5950,00827,50
1019,491,5950,00828,50
1019,491,5950,00830,50
1019,491,5950,00832,50
1019,491,5950,00833,50
1019,491,5950,02374,50
1019,491,5950,02375,50
1019,489,5950,00659,50
1019,489,5950,00660,50
1019,489,5950,00661,50
1020,489,2194,00009,3806
1020,489,2194,00176,3806
1020,489,2194,00187,3806
1020,489,2194,00289,3806
1021,1060,6124,02402,38
1021,491,6124,02401,38
1021,491,6124,02404,38
1021,491,6124,02439,38
1021,491,6124,02440,38
1021,402,6124,02399,38
1021,378,6124,02400,38
1021,368,6124,02403,38
1021,336,6124,02443,38
1021,259,6124,02441,38
1021,259,6124,02442,38
1022,475,475,02398,2974
1023,590,13000,00012,0
1023,579,13000,00906,0
1023,570,13000,00030,0
1023,535,13000,00862,0
1023,533,13000,00960,0
1023,505,13000,00010,0
1023,505,13000,00042,0
1023,504,13000,00035,0
1023,504,13000,00041,0
1023,499,13000,00867,0
1023,499,13000,00961,0
1023,498,13000,02050,0
1023,476,13000,00044,0
1023,475,13000,00038,0
1023,468,13000,00045,0
1024,2494,13000,01756,0
1024,2240,13000,00907,0
1024,1382,13000,00904,0
1024,606,13000,00910,0
1024,476,13000,00037,0
1025,824,13000,00011,0
1026,3608,12998,00162,2
1026,2998,12998,00026,2
1026,2166,12998,00903,2
1026,482,12998,00043,2
1027,3608,12836,00160,164
1027,3018,12836,00027,164
1027,2998,12836,00023,164
1027,2998,12836,00025,164
1028,2998,11992,00019,1008
1028,2998,11992,00020,1008
1028,2998,11992,00021,1008
1028,2998,11992,00022,1008
1029,2998,11899,00017,1101
1029,2998,11899,00018,1101
1029,2918,11899,00024,1101
1030,1501,1501,00908,11499
1031,2693,3518,00034,30
1031,825,3518,00032,30
1032,2693,4862,00016,8138
1032,2169,4862,00028,8138
11184,965,4173,UG32-0294-S,0
11185,1193,6000,UG32-0965-S,0
11185,1043,6000,UG32-0124-S,0
11186,1493,6000,UG32-0964-S,0
11186,1193,6000,UG32-0951-S,0
11186,1193,6000,UG32-0958-S,0
11186,834,6000,UG32-0930-S,0
11187,1146,5996,UG32-0236-S,4
11187,1146,5996,UG32-0237-S,4
11187,743,5996,UG32-0956-S,4
11187,743,5996,UG32-0963-S,4
11188,1493,5979,UG32-0957-S,21
11189,1493,5972,UG32-0929-S,28
11189,1493,5972,UG32-0950-S,28
11189,743,5972,UG32-0949-S,28
11190,1146,3946,UG32-0234-S,2054
11190,743,3946,UG32-0928-S,2054
11191,339,5221,UG32-1621-S,1
11191,339,5221,UG32-1628-S,1
11193,521,4111,UG32-1402-S,42
11193,521,4111,UG32-1575-S,42
11193,521,4111,UG32-1577-S,42
11194,4593,7966,UG32-1688-S,34
11194,487,7966,UG32-1624-S,34
11197,4593,7947,UG32-0960-S,53
11201,4593,7268,UG32-0385-S,732
11202,6396,6396,UG32-1709-S,1604
11203,6396,6396,UG32-1257-S,1604
11207,1796,9587,UG32-1077-S,17
11207,1796,9587,UG32-1553-S,17
11207,1643,9587,UG32-0001-S,17
11207,1643,9587,UG32-0029-S,17
11207,854,9587,UG32-0015-S,17
11208,2771,11798,UG32-1072-S,1202
11208,1327,11798,UG32-1560-S,1202
11210,1242,1918,UG32-0062-S,558
11210,676,1918,UG32-0028-S,558
11211,1242,3726,UG32-0030-S,9274
11184,2235,4173,UG32-0203-S,0
11184,437,4173,UG32-0712-S,0
11184,237,4173,UG32-0762-S,0
11185,2243,6000,UG32-0961-S,0
11185,495,6000,UG32-0711-S,0
11186,350,6000,UG32-0652-S,0
11186,350,6000,UG32-0682-S,0
11186,350,6000,UG32-0784-S,0
11186,237,6000,UG32-0761-S,0
11187,2218,5996,UG32-0946-S,4
11188,2243,5979,UG32-0947-S,21
11188,2243,5979,UG32-0954-S,21
11189,2243,5972,UG32-0920-S,28
11190,1793,3946,UG32-0953-S,2054
11191,488,5221,UG32-0148-S,1
11191,488,5221,UG32-0194-S,1
11194,518,7966,UG32-0376-S,34
11196,7625,7949,UG32-1098-S,51
11200,839,7740,UG32-0051-S,260
11201,487,7268,UG32-1625-S,732
11204,1028,5154,UG32-0974-S,4135
11204,814,5154,UG32-0912-S,4135
11207,1855,9587,UG32-0019-S,17
11208,2495,11798,UG32-0020-S,1202
11208,1919,11798,UG32-0403-S,1202
11208,1643,11798,UG32-0027-S,1202
